Player,Tm,Games,PTS,TRB,AST,Cluster
Alec Burks,MIA,26,5.730769230769231,2.076923076923077,1.0769230769230769,1
Alex Caruso,OKC,31,5.548387096774194,2.774193548387097,2.419354838709677,1
Shai Gilgeous-Alexander,OKC,50,32.44,5.22,5.9,2
Giannis Antetokounmpo,MIL,42,31.61904761904762,12.333333333333334,5.976190476190476,2
Nikola Jokić,DEN,46,29.695652173913043,12.695652173913045,10.326086956521738,2
Luka Dončić,DAL,22,28.13636363636364,8.318181818181818,7.818181818181818,2
LaMelo Ball,CHO,32,28.03125,5.21875,7.375,2
Tyrese Maxey,PHI,44,27.84090909090909,3.4318181818181817,6.204545454545454,2
Anthony Edwards,MIN,51,27.215686274509803,5.784313725490196,4.529411764705882,2
Kevin Durant,PHO,39,26.923076923076923,6.076923076923077,4.17948717948718,2
Jaren Jackson Jr.,MEM,18,26.55555555555556,6.388888888888889,2.9444444444444446,2
Jayson Tatum,BOS,49,26.551020408163264,8.653061224489797,5.653061224489796,2
Devin Booker,PHO,46,26.41304347826087,4.021739130434782,6.695652173913044,2
Jalen Brunson,NYK,50,26.08,2.9,7.52,2
Anthony Davis,LAL,42,25.73809523809524,11.857142857142858,3.357142857142857,2
Trey Murphy III,NOP,16,25.625,5.625,4.1875,2
Cade Cunningham,DET,47,25.595744680851062,6.297872340425532,9.4468085106383,2
Damian Lillard,MIL,43,25.0,4.651162790697675,7.4186046511627906,2
De'Aaron Fox,SAC,47,24.8936170212766,4.9361702127659575,6.276595744680851,2
Franz Wagner,ORL,33,24.78787878787879,5.363636363636363,5.090909090909091,2
Cam Thomas,BRK,19,24.68421052631579,3.5789473684210527,3.421052631578948,2
Joel Embiid,PHI,15,24.6,8.066666666666666,4.4,2
LeBron James,LAL,46,24.456521739130437,7.782608695652174,9.043478260869565,2
Victor Wembanyama,SAS,43,24.41860465116279,10.906976744186046,3.627906976744186,2
Kyrie Irving,DAL,41,24.365853658536587,4.7073170731707314,4.804878048780488,2
Karl-Anthony Towns,NYK,46,24.32608695652174,13.608695652173912,3.3260869565217392,2
